second|n
dcblackout|7230
blacklivesmatter|2180
protests|1175
anonymous|1115
georgefloyd|779
dcsafe|607
che|530
vidasnegrasimportam|526
bunkerboy|522
di|461
trump|423
anonymus|405
people|361
donaldtrump|322
whitehouse|319
usaonfire|313
dc|301
bunkerdon|293
bunkertrump|264
junest|260
dcprotests|242
news|241
pride|238
pra|223
house|210
safe|210
tweets|210
pridemonth|183
washington|177
justiceforgeorgefloyd|174
accounts|169
blakelivesmatter|167
fake|160
pizzagate|158
georgefloydprotests|151
riots|150
sta|150
dcprotest|148
happening|145
dont|143
blackout|139
protesters|138
covid|129
mondaythoughts|125
sono|117
tudo|116
vidaspretasimportam|109
shit|107
ser|106
trending|106
america|104
blm|104
video|103
protestors|98
stop|97
coronavirus|96
tá|96
stay|95
blacklivematter|92
succedendo|91
